ticker,isin,shortname,fullname,industry,supersector,sector,subsector,listing_status,listing_date,trading_status,equity_type,equity_class,marketdata_currency,financial_currency,last_update,alsi_member,top40_member,irregular_flag
SLL,ZAE000018198,STELLA,Stella Vista Tech Ltd,Industrials,Industrial Goods & Services,Electronic & Electrical Equipment,Electrical Components & Equipment,DELISTED,,,,,,,2014-01-20,,,
SLM,,SANLAM,Sanlam Limited,Financials,Insurance,Life Insurance,Life Insurance,CURRENT,,,,,,,2015-06-01,,,
SLO,ZAE000041919,SELCO,Southern Electricity Co,Utilities,Utilities,Electricity,Electricity,DELISTED,,,,,,,2014-01-07,,,
SLK,0,SILOAK,Silveroak Industries Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1996-01-17,,,
SLC,0,,Solchem Investment Hldgs,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1997-09-22,,,
MCM,ZW0008978224,M-C-M,Mhangura Copper Mines Ld,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2000-10-27,,,
MCK,0,,Metclick Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1996-04-16,,,
MCH,0,,Metclick Holdings Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1996-04-16,,,
GFS,ZAE000003000,GFSA,Gold Fields Of Sa Ord,Basic Materials,Basic Resources,Mining,Gold Mining,DELISTED,,,,,,,2001-02-05,,,
MCC,ZAE000034823,MCCAR,Mccarthy Ltd Comconpref,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,2004-04-08,,,
GFI,,GFIELDS,Gold Fields Ltd,Basic Materials,Basic Resources,Mining,Gold Mining,CURRENT,,,,,,,2015-06-01,,,
GFN,0,GRIFFIN,Griffin Shipping Hld Ltd,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1998-07-31,,,
GFL,0,G-FIELDS,Gold Fields Ltd,Basic Materials,Basic Resources,Mining,Gold Mining,DELISTED,,,,,,,1999-05-07,,,
MCU,ZAE000033353,MCUBED,M Cubed Hldgs Ltd,Financials,Financial Services,General Financial,Asset Managers,DELISTED,,,,,,,2012-11-16,,,
MCR,0,MCCARTHY,Mc Carthy Group Ord,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1998-07-24,,,
MCP,ZAE000050175,MICCPROP,Micc Property Income Fnd,Financials,Financial Services,Real Estate,Real Estate Holdings & Development,DELISTED,,,,,,,2007-04-02,,,
BGA,,B-AFRICA,Barclays Africa Grp Ltd,Financials,Banks,Banks,Banks,CURRENT,,,,,,,2015-06-01,,,
ICSP,,,I C S Hldgs 5.5% Cumpref,Unclasified,Unclassified,Unclassified,Unclassified,DELISTED,,,,,,,1998-10-01,,,
